Data,Lojas,Produto,Quantidade,Valor_Unit,Valor_Final
01/12/2019,Iguatemi Campinas,Bermuda Estampa,1,169.00,169.00
01/12/2019,Iguatemi Esplanada,Bermuda Xadrez,1,155.00,155.00
01/12/2019,Norte Shopping,Bermuda,2,150.00,300.00
01/12/2019,Iguatemi Campinas,Bermuda Listrado,3,163.00,489.00
01/12/2019,Iguatemi Campinas,Bermuda Linho,3,195.00,585.00
03/12/2019,Iguatemi Campinas,Bermuda Xadrez,1,155.00,155.00
03/12/2019,Bourbon Shopping SP,Bermuda Listrado,1,163.00,163.00
03/12/2019,Bourbon Shopping SP,Bermuda Xadrez,3,155.00,465.00
03/12/2019,Bourbon Shopping SP,Bermuda Estampa,1,169.00,169.00
04/12/2019,Center Shopping Uberl‰ndia,Bermuda Xadrez,4,155.00,620.00
04/12/2019,Iguatemi Esplanada,Bermuda,1,150.00,150.00
04/12/2019,Bourbon Shopping SP,Bermuda Estampa,2,169.00,338.00
04/12/2019,Iguatemi Campinas,Bermuda,4,150.00,600.00
05/12/2019,Iguatemi Campinas,Bermuda Liso,55,157.00,8635.00
05/12/2019,Iguatemi Campinas,Bermuda,4,150.00,600.00
05/12/2019,Bourbon Shopping SP,Bermuda Listrado,1,163.00,163.00
06/12/2019,Iguatemi Esplanada,Bermuda Estampa,1,169.00,169.00
07/12/2019,Iguatemi Campinas,Bermuda Xadrez,1,155.00,155.00
07/12/2019,Bourbon Shopping SP,Bermuda,3,150.00,450.00
08/12/2019,Center Shopping Uberl‰ndia,Bermuda Linho,4,195.00,780.00
08/12/2019,Iguatemi Campinas,Bermuda Estampa,4,169.00,676.00
09/12/2019,Iguatemi Esplanada,Bermuda Xadrez,3,155.00,465.00
10/12/2019,Center Shopping Uberl‰ndia,Bermuda Listrado,1,163.00,163.00
11/12/2019,Iguatemi Campinas,Bermuda Xadrez,1,155.00,155.00
11/12/2019,Norte Shopping,Bermuda Xadrez,2,155.00,310.00
12/12/2019,Iguatemi Esplanada,Bermuda Linho,1,195.00,195.00
14/12/2019,Bourbon Shopping SP,Bermuda Linho,1,195.00,195.00
15/12/2019,Iguatemi Campinas,Bermuda Linho,3,195.00,585.00
15/12/2019,Center Shopping Uberl‰ndia,Bermuda Xadrez,1,155.00,155.00
15/12/2019,Bourbon Shopping SP,Bermuda Listrado,2,163.00,326.00
16/12/2019,Norte Shopping,Bermuda Listrado,1,163.00,163.00
16/12/2019,Bourbon Shopping SP,Bermuda Listrado,2,163.00,326.00
17/12/2019,Norte Shopping,Bermuda Xadrez,1,155.00,155.00
17/12/2019,Iguatemi Campinas,Bermuda Listrado,4,163.00,652.00
17/12/2019,Bourbon Shopping SP,Bermuda,2,150.00,300.00
17/12/2019,Bourbon Shopping SP,Bermuda Listrado,3,163.00,489.00
18/12/2019,Norte Shopping,Bermuda Listrado,3,163.00,489.00
18/12/2019,Iguatemi Esplanada,Bermuda Estampa,1,169.00,169.00
19/12/2019,Iguatemi Campinas,Bermuda Listrado,1,163.00,163.00
19/12/2019,Center Shopping Uberl‰ndia,Bermuda Estampa,1,169.00,169.00
19/12/2019,Center Shopping Uberl‰ndia,Bermuda Estampa,1,169.00,169.00
19/12/2019,Norte Shopping,Bermuda,1,150.00,150.00
20/12/2019,Bourbon Shopping SP,Bermuda Listrado,2,163.00,326.00
20/12/2019,Iguatemi Esplanada,Bermuda Linho,1,195.00,195.00
21/12/2019,Norte Shopping,Bermuda Estampa,5,169.00,845.00
21/12/2019,Norte Shopping,Bermuda,4,150.00,600.00
21/12/2019,Iguatemi Esplanada,Bermuda Linho,5,195.00,975.00
22/12/2019,Iguatemi Campinas,Bermuda Xadrez,1,155.00,155.00
22/12/2019,Center Shopping Uberl‰ndia,Bermuda Listrado,1,163.00,163.00
23/12/2019,Norte Shopping,Bermuda Linho,2,195.00,390.00
23/12/2019,Norte Shopping,Bermuda,2,150.00,300.00
24/12/2019,Center Shopping Uberl‰ndia,Bermuda Xadrez,1,155.00,155.00
24/12/2019,Norte Shopping,Bermuda Xadrez,4,155.00,620.00
24/12/2019,Center Shopping Uberl‰ndia,Bermuda Xadrez,4,155.00,620.00
24/12/2019,Iguatemi Campinas,Bermuda Liso,78,157.00,12246.00
25/12/2019,Iguatemi Campinas,Bermuda Liso,100,157.00,15700.00
26/12/2019,Bourbon Shopping SP,Bermuda Estampa,4,169.00,676.00
